VARIABLE NAME,LABEL,RELATED PUF CONSTRUCT,SUGGESTED CONSTRUCT,CHIS 2023,CHIS 2021-2022,CHIS 2022,CHIS 2021,CHIS 2019-2020,CHIS 2020,CHIS 2019,CHIS 2017-2018,CHIS 2018,CHIS 2017,CHIS 2015-2016,CHIS 2016,CHIS 2015,CHIS 2013-2014,CHIS 2014,CHIS 2013,CHIS 2011-2012,CHIS 2012,CHIS 2011,CHIS 2009,CHIS 2007,CHIS 2005,CHIS 2003,CHIS 2001,NOTES,
TB26,HAD FLU SHOT/FLUMIST IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,,
TB7,FREQUENCY OF ASTHMA SYMPTOMS IN PAST 12 MOS: CURRENT ASTHMA,TB7_P,ASTYR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,NOT TRENDABLE WITH CHIS 2001 TB7;,
ASTYR,ASTHMA SYMPTOMS PAST 12 MOS FOR POPULATION W/ CURRENT ASTHMA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,N/A,,
OVRWT,OVERWEIGHT OR OBESE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,,
HRQOL,# OF UNHEALTHY DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,"THE VARIABLE IS CONSTRUCTED BY SUMMING # OF DAYS FROM TB35 & TB36 (MAX=30). FOR MORE INFORMATION, PLEASE VISIT WWW. CDC.GOV/HRQOL/CONCEPTS.HTM.",
TB35,# DAYS PHYS HEALTH NOT GOOD IN PAST MO,,HRQOL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,,
TB36,# DAYS MENTAL HEALTH NOT GOOD IN PAST MO,,HRQOL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,,
TB37,EVER DIAGNOSED WITH SEIZURE DISORDER/EPILEPSY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,,
TB38,CURRENTLY TAKE MEDS TO CONTROL SEIZURES/EPILEPSY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,,
TB39,# SEIZURES IN PAST 3 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,,
TB30,DR SAID THAT R HAS ALLERGIES,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,
TB10,DOCTOR EVER TOLD HAVE DIABETES OR SUGAR DIABETES,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,
TB10A,TOLD HAVE TYPE 1 OR TYPE 2 DIABETES,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,,
TC33,PERCEPTION OF WGHT RELATIVE TO IDEAL WGHT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TC34,CURRENTLY TRYING TO DO ANYTHING ABOUT WGHT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TC35,DIETED TO LOSE OR MAINTAIN WGHT IN PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TC36,EXERCISED TO LOSE OR MAINTAIN WGHT IN PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TC37,DID ANYTHING ELSE TO LOSE OR MAINTAIN WGHT IN PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TC37A1,DID ANYTHING ELSE TO LOSE/MAINTAIN WGHT PAST 7 DAYS: 1ST RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TC37A2,DID ANYTHING ELSE TO LOSE/MAINTAIN WGHT PAST 7 DAYS: 2ND RESPONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TC37A3,DID ANYTHING ELSE TO LOSE/MAINTAIN WGHT PAST 7 DAYS: 3RD RESONSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TB21,WHEEZING OR WHISTLING IN CHEST IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TB25,# OF WHEEZING ATTACKS IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TB16,AGE FIRST TOLD ABOUT ASTHMA,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TB22,"# OF TIMES MEDICAL HELP SOUGHT FOR BREATHING PROB,PAST 12 MOS",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TB23,NEED EQUIPMENT/HELP WITH DAILY ACTIVITIES B/C HEALTH PROBLEM,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
HEIGHTM,HEIGHT - METERS (UCLA),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
WEIGHTKG,WEIGHT - KILOGRAMS (UCLA),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
RBMI2,OVERWEIGHT OR OBESE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
ASTSYM,ASTHMA SYMPTOMS PAST 12 MONTHS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TB8,DOCTOR GAVE INFORMATION ON HOW TO AVOID ASTHMA FROM WORSENING,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TB9,DOCTOR GAVE EXPLANATION ON HOW TO RECOGNIZE ASTHMA ATTACKS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TB11,AGE FIRST TOLD BY DOCTOR TO HAVE DIABETES OR SUGAR DIABETES,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TB12,TAKING INSULIN,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TB13,TAKING DIABETIC PILLS TO LOWER BLOOD SUGAR,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TB14,HOW MANY TIMES CHECKING FOR GLUCOSE OR SUGAR,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TB14UNT,UNIT OF FREQUENCY CHECKING FOR GLUCOSE OR SUGAR,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
DIABCK,NUMBER OF TIMES CHECKING FOR GLUCOSE OR SUGAR PER MONTH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TB15,TIMES DOCTOR CHECKED FOR HEMOGLOBIN IN LAST YEAR,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SECTION C,"DIET, NUTRITION, & FOOD ENVIRONMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC28BV2,# OF GLASSES OF SWEETENED FRUIT DRINKS DRANK YESTERDAY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PREVIOUS VERSION: TC28B. NEW VERSION DUE TO NEW UNIVERSE IN 2023.,
TE4V2,# OF SERVINGS OF FRUIT ATE YESTERDAY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RECLAIMED IN 2023 (FROM 2020). PREVIOUS VERSION: TE4. NEW VERSION DUE TO NEW UNIVERSE.,
TE6V2,# OF SERVINGS OF VEGETABLES ATE YESTERDAY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RECLAIMED IN 2023 (FROM 2020). PREVIOUS VERSION: TE6. NEW VERSION DUE TO NEW UNIVERSE.,
FV5DAYV2,5+ FRUIT/VEGS. A DAY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RECLAIMED IN 2023 (FROM 2020) WITH RECLAIMING OF INPUT VARIABLE TE4V2 & TE6V2. PREVIOUS VERSION: FV5DAY. NEW VERSION DUE TO NEW UNIVERSE.,
TC28B,# OF GLASSES OF SWEETENED FRUIT DRINKS DRANK YESTERDAY,TC28B_P1,,N/A,,,,N/A,N/A,N/A,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,RECLAIMED IN CHIS 2021;,
TC28A,# CANS OF SODA W/SUGAR DRUNK YESTERDAY,TC28A_P1,,N/A,N/A,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,N/A,N/A,N/A,N/A,Reclaimed from CHIS 2017,
TE4,# OF SERVINGS OF FRUIT ATE YESTERDAY,TE4_P1,FV5DAY,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
TE6,# OF SERVINGS OF VEGETABLES ATE YESTERDAY,TE6_P1,FV5DAY,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
FV5DAY,5+ FRUIT/VEGS. A DAY,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,N/A,,
TC53,# GLASSES OF WATER DRANK YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC10,SCHOOL SERVES FAST FOOD FROM RESTAURANTS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TD24,# TIMES ATE LUNCH IN CAFETERIA PAST WK,TD24_P; TD24_P1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,,N/A,N/A,N/A,,
TD25,# TIMES ATE FAST FOOD DURING PAST WEEK,TD25_P1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,N/A,N/A,N/A,,
TC55,# GLASSES DRANK NO/LOW-FAT MILK YESTERDAY,TC55_P1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC56,# CUPS DRANK COFFEE/TEA W/SUGAR YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC58,# SERVINGS OF 100% JUICE YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC57,ELIGIBLE FOR FREE/REDUCED COST LUNCH IN HIGH SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC46,SCHOOL OFFER FREE WATER AT LUNCH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC47,SCHOOL FREE WATER AT LUNCH-FOUNTAINS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC48,SCHOOL FREE WATER AT LUNCH-PITCHERS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC49,SCHOOL FREE WATER AT LUNCH-WALL SPOUT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC50,SCHOOL FREE WATER AT LUNCH-WATER COOLER,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC51,SCHOOL FREE WATER AT LUNCH-BOTTLED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC52,SCHOOL FREE WATER AT LUNCH-FREE CUPS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TC54,# GLASSES OF WATER DRANK LAST DAY AT SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TD14,# OF SERVINGS OF FRIED POTATOES YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,N/A,N/A,,
TD20,PLACE USUALLY EAT BREAKFAST DURING SCHOOL YR,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,,N/A,N/A,,
TD21,PLACE USUALLY EAT LUNCH DURING SCHOOL YR,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,,N/A,N/A,,
TC44,TIMES SUNBURNED PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,
TC45,# TIMES USED INDOOR TANNING DEVICE PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,
DIDTAN12,USED INDOOR TANNING DEVICE PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,
TC28,# OF SODA OR OTHER SWEETENED DRINKS DRANK YESTERDAY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,,
TD23,# TIMES BUY SODA AT SCHOOL DURING PAST WEEK,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,
TC1,INJURED ENOUGH TO GET TREATMENT IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TC2,# OF TIMES INJURED ENOUGH TO GET TREATMENT IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,SEE SRW FOR THE IMPUTED VERSION OF TI2_6,
TC_INJN,TIMES SERIOUSLY INJURED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TC3,CAUSE OF MOST RECENT SERIOUS INJURY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
INJCA,CAUSE OF INJURY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,,
TC6,FREQUENCY OF WEARING A HELMET WHEN RIDING BICYCLE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
HELMUSE,WORE HELMET WHILE RIDING BICYCLE IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TC6A,FREQUENCY OF WEARING A SEATBELT WHEN RIDING/DRIVING A CAR,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
SEATBLT,HOW OFTEN USE SEATBELT WHEN RIDING IN CAR,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TC7,EVER RIDDEN IN VEHICLE W/ DRIVER WHO HAS BEEN DRINKING ALCOHOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TC27,LIKELIHOOD NEIGHBORS WOULD DO SOMETHING ABOUT KID'S GRAFFITI,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TE8A,# OF DAYS EXERCISED FOR AT LEAST 20 MINUTES PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
VIGOR,VIGOROUS ACTIVITY 3+ DAYS LAST WEEK,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
TE9,EXERCISED FOR AT LEAST 30 MINUTES IN PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
TE9A,# OF DAYS EXERCISED FOR AT LEAST 30 MINUTES PAST 7 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
MODACT,MODERATE ACTIVITY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
REGACT,REGULAR MODERATE OR VIGOROUS ACTIVITY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
BINGE,BINGE DRINKING AMONG TEEN IN PAST MONTH,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
TC40,# OF DAYS USED DRUGS OTHER THAN MARIJUANA IN PAST 30 DAYS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TC41,EVER USED STEROIDS TO BUILD MUSCLE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TC3A,INJURY CAUSED BY ANOTHER PERSON,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC3B,WAS INJURY AN ACCIDENT OR OTHER PERSON MEANT TO DO IT,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC4_A,"INJURY INVOLVED A GUN, KNIFE, OR OTHER WEAPON: 1ST RESPONSE",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC4_B,"INJURY INVOLVED A GUN, KNIFE, OR OTHER WEAPON: 2ND RESPONSE",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC4_C,"INJURY INVOLVED A GUN, KNIFE, OR OTHER WEAPON: 3RD RESPONSE",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC4_D,"INJURY INVOLVED A GUN, KNIFE, OR OTHER WEAPON: 4TH RESPONSE",,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC4_1,NO WEAPONS USED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC4_2,GUN USED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC4_3,KNIFE USED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC4_4,SOME OTHER WEAPON USED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC5,LOCATION WHERE INJURY HAPPENED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
TC5A,INJURY HAPPENED INSIDE/OUTSIDE HOME,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
